Release date,Artist,Album,Main genre
4.06,The Wombats,Glitterbug,Indie rock
4.06,Turbowolf,Two Hands,Alternative metal
4.07,All Time Low,Future Hearts,Pop punk
4.07,Brian Wilson,No Pier Pressure,Rock
4.07,Flo Rida,My House,Hip hop
4.07,Toro y Moi,What For?,Pop rock
4.07,Trickfinger,Trickfinger,Acid house
4.07,WATERS,What's Real,Alternative rock
4.08,Ayumi Hamasaki,A One,
4.1,Halestorm,Into the Wild Life,Hard rock
4.14,Beth Hart,Better Than Home,Blues rock
4.14,Dance Gavin Dance,Instant Gratification,Post-hardcore
4.14,Reba McEntire,Love Somebody,Country
4.14,Sabrina Carpenter,Eyes Wide Open,Pop
4.14,Shawn Mendes,Handwritten,Pop
4.17,Paulini,Come Alive,Pop
4.21,10 Years,From Birth to Burial,Alternative metal
4.21,Alesana,Confessions,Metalcore
4.21,Built to Spill,Untethered Moon,Indie rock
4.21,Joywave,How Do You Feel Now?,Synthpop
4.21,Passion Pit,Kindred,Synthpop
4.21,San Fermin,Jackrabbit,Baroque pop
4.21,Squarepusher,Damogen Furies,Electronica
4.21,Yelawolf,Love Story,Hip hop
4.25,What So Not,Gemini (EP),Trap
4.27,Blur,The Magic Whip,Britpop
4.27,Mew,+ -,Alternative rock
4.28,Raekwon,Fly International Luxurious Art,Hip hop
5.01,Korpiklaani,Noita,Folk metal
5.04,Ciara,Jackie,R&B
5.04,Mumford & Sons,Wilder Mind,Folk rock
5.04,My Morning Jacket,The Waterfall,Indie rock
5.05,Fireflight,Innova,Christian rock
5.05,Rose Windows,Rose Windows,Psychedelic rock
5.12,Hinder,When The Smoke Clears,Hard rock
5.12,Snoop Dogg,Bush,Hip hop
5.12,Sóley,Ask the Deep,Indie pop
5.18,Brandon Flowers,The Desired Effect,Indie rock
5.18,Conchita Wurst,Conchita,Pop
5.18,Kwabs,Love + War,Pop
5.19,Faith No More,Sol Invictus,Alternative rock
5.19,Haste The Day,Coward,Post-Hardcore
